gene	group
470	gbr.198.25_gbr.198.26	grey
471	gbr.286.8	grey
472	gbr.33.81	yellow
473	gbr.58.3	turquoise
474	gbr.25.181	grey
475	gbr.51.73	grey
476	gbr.75.68	yellow
477	gbr.148.26	green
478	gbr.167.65	grey
479	gbr.38.3	yellow
480	gbr.203.12_gbr.203.15	grey
481	gbr.560.1	yellow
482	gbr.183.52	turquoise
483	gbr.437.1_gbr.437.2	turquoise
484	gbr.7.100	green
485	gbr.70.17	cyan
486	gbr.17.63	red
487	gbr.589.5_gbr.589.7_gbr.589.9	pink
488	gbr.106.34	grey
489	gbr.226.16	blue
490	gbr.111.51	turquoise
491	gbr.56.23	green
492	gbr.425.2	blue
493	gbr.130.30	yellow
494	gbr.167.25	yellow
495	gbr.670.3	green
496	gbr.2.128	grey
497	gbr.167.32	grey
498	gbr.234.11_gbr.234.12	green
499	gbr.15.11_gbr.15.12	red
500	gbr.24.17	grey
501	gbr.376.15	red
502	gbr.219.21	grey
503	gbr.139.2	red
504	gbr.143.13	green
505	gbr.94.63	grey
506	gbr.189.19	black
507	gbr.59.41	green
508	gbr.381.6	grey
509	gbr.195.17	turquoise
510	gbr.87.44	blue
511	gbr.17.29_gbr.17.30	grey
512	gbr.27.48	grey
513	gbr.109.7_gbr.109.6	brown
514	gbr.21.10	yellow
515	gbr.287.24	grey
516	gbr.18.7	red
517	gbr.379.8	turquoise
518	gbr.137.24	turquoise
519	gbr.10.112	grey
520	gbr.169.32	cyan
521	gbr.176.2	yellow
522	gbr.117.23	blue
523	gbr.130.11	grey
524	gbr.11.75	grey
525	gbr.4.76	turquoise
526	gbr.204.22	grey
527	gbr.330.3	red
528	gbr.99.29	red
529	gbr.11.132	grey
530	gbr.288.10	turquoise
531	gbr.7.162	grey
532	gbr.101.8	red
533	gbr.347.29	blue
534	gbr.251.8_gbr.251.9	blue
535	gbr.41.95	grey
536	gbr.578.4	yellow
537	gbr.40.133_gbr.40.132	grey
538	gbr.248.12	grey
539	gbr.48.67	turquoise
540	gbr.325.17	grey
541	gbr.417.6	grey
542	gbr.144.22	blue
543	gbr.73.8	grey
544	gbr.76.28	yellow
545	gbr.386.21	red
546	gbr.208.15	yellow
547	gbr.114.30	cyan
548	gbr.60.55	green
549	gbr.291.23	green
550	gbr.25.86	yellow
551	gbr.110.82	turquoise
552	gbr.82.27	pink
553	gbr.7.115	turquoise
554	gbr.2.13_gbr.2.18	black
555	gbr.499.4	grey
556	gbr.80.3	grey
557	gbr.171.8	brown
558	gbr.274.12	yellow
559	gbr.98.27_gbr.98.28	green
560	gbr.648.1	yellow
561	gbr.90.77_gbr.90.78	grey
562	gbr.452.2	grey
563	gbr.167.20	grey
564	gbr.51.54_gbr.51.55	grey
565	gbr.215.41	grey
566	gbr.174.34	grey
567	gbr.225.17	yellow
568	gbr.2.96	grey
569	gbr.6.229	grey
570	gbr.58.43	grey
571	gbr.73.37	red
572	gbr.49.8	yellow
573	gbr.428.11	pink
574	gbr.33.73	grey
575	gbr.81.209	pink
576	gbr.164.14	grey
577	gbr.101.47	cyan
578	gbr.108.12	blue
579	gbr.31.77	green
580	gbr.196.18	blue
581	gbr.369.3	cyan
582	gbr.167.5	grey
583	gbr.202.42	grey
584	gbr.481.7	blue
585	gbr.413.1	brown
586	gbr.70.59	grey
587	gbr.76.52	pink
588	gbr.140.36_gbr.140.37	turquoise
589	gbr.25.185	red
590	gbr.102.18	blue
591	gbr.72.146	blue
592	gbr.106.48	yellow
593	gbr.2.172	pink
594	gbr.51.27	red
595	gbr.16.70	grey
596	gbr.48.30	grey
597	gbr.12.119_gbr.12.120	grey
598	gbr.385.8	turquoise
599	gbr.7.94_gbr.7.95	yellow
600	gbr.83.42	grey
601	gbr.534.2	red
602	gbr.26.82	magenta
603	gbr.241.1_gbr.241.7	grey
604	gbr.375.26_gbr.375.27	cyan
605	gbr.76.81	pink
606	gbr.457.5_gbr.457.6	grey
607	gbr.170.17	grey
608	gbr.204.30	red
609	gbr.226.21	pink
610	gbr.229.22	turquoise
611	gbr.48.32	grey
612	gbr.2.246	blue
613	gbr.184.62	green
614	gbr.264.34	grey
615	gbr.221.82	yellow
616	gbr.3.72	yellow
617	gbr.354.8	grey
618	gbr.25.106	red
619	gbr.151.75	red
620	gbr.306.13	green
621	gbr.38.32	green
622	gbr.17.18	yellow
623	gbr.139.83	blue
624	gbr.184.59	red
