Sample:	Spf	Spm	Spw
gbr.555.4.t1	2.039694001	0.789747197	11.19878882
gbr.148.14.t1	2.743367833	2.923692293	9.510378576
gbr.112.45.t1	16.82442188	16.40034192	41.75441871
gbr.256.4.t1	19.57295294	17.60891281	31.04086011
gbr.47.49.t1	12.81911105	11.54960744	17.95404704
gbr.100.20.t1_gbr.100.21.t1	26.58547771	17.86540906	33.29927095
gbr.35.37.t1	9.415875578	8.893435964	10.27478905
gbr.236.14.t1	15.00212185	12.77013727	47.74452808
gbr.38.74.t1	152.8964459	198.59145	216.6247345
gbr.126.43.t1	214.4873948	171.4667233	235.1942216
gbr.401.10.t1	10.1277522	6.25673482	37.61196217
gbr.357.4.t1	28.92721431	16.12971642	35.53811298
gbr.2.174.t1	59.62960083	93.31796258	125.7975303
gbr.82.29.t1	76.21701451	58.59123653	74.18059262
gbr.50.62.t1	7.918888306	9.237225883	5.865672541
gbr.1.175.t1	44.89848692	40.19445975	42.16348233
gbr.61.15.t1	13.13167271	14.3243626	41.97812349
gbr.549.6.t1	5.831449728	4.144003514	10.07734654
gbr.317.8.t1	146.292161	113.2341962	139.425217
gbr.141.45.t1	3.552104014	4.416558771	3.137562729
gbr.264.42.t1	0.531275964	1.799037278	0.112750692
gbr.177.44.t1_gbr.177.43.t1	6.564460268	4.469009541	11.65575184
gbr.14.115.t1	42.338841	42.84970572	58.82995925
gbr.87.9.t1	92.98400809	84.09379711	142.4760464
gbr.13.96.t1	12.34150049	16.03020815	20.94010829
gbr.613.8.t1	59.23038374	46.50735412	91.12597145
gbr.58.133.t1	11.02801682	6.195088613	14.43761968
gbr.60.43.t1	39.42018805	32.86463684	30.48840542
gbr.37.112.t1	160.5094247	211.8818993	311.9688111
gbr.53.80.t1	753.0870866	767.1887297	1019.051175
gbr.85.5.t1	89.38275193	76.08008617	107.6013648
gbr.280.8.t1	0.399189923	0.110022613	0.525398454
gbr.680.4.t1_gbr.680.5.t1	13.05143029	12.47571411	32.08272136
gbr.238.8.t1	15.58491405	10.00744026	34.11346416
gbr.481.6.t1	19.98682878	17.3890749	32.19741715
gbr.25.233.t1	84.9303242	84.80592951	144.7394082
gbr.128.40.t1	13.14182743	11.19079674	15.58490351
gbr.40.53.t1	19.53069637	17.23181237	29.58954784
gbr.79.1.t1	6.247523876	6.051583232	13.09896759
gbr.166.18.t1	45.36934848	35.91448514	35.14124447
gbr.469.12.t1	58.50646037	59.10292595	68.40027684
gbr.6.8.t1_gbr.6.10.t1	0.549272947	0.572380889	0.74197515
gbr.99.74.t1	56.68243436	42.19866862	75.8483884
gbr.31.59.t1	52.44193349	43.76641173	72.18408265
gbr.529.2.t1	5.872151001	5.538489824	13.68610484
gbr.189.22.t1	2319.322924	2127.937032	2913.952137
gbr.3.117.t1	212.7121168	196.2593424	314.4206881
gbr.365.16.t1	197.5389175	161.7317309	265.3731363
gbr.202.39.t1	0.605087017	0.050551318	1.476116349
gbr.6.210.t1	4.46577367	4.262786503	11.18102643
gbr.141.59.t1	12.16224866	9.708521412	11.87273115
gbr.60.103.t1	428.188987	425.1060426	714.5975389
gbr.67.6.t1	73.32372753	49.50188081	65.20617042
gbr.3.105.t1	60.21377329	51.59806349	44.97508181
gbr.56.118.t1	4010.01226	3115.131122	5247.791325
gbr.162.20.t1	97.73243366	94.69646768	94.05915974
gbr.110.64.t1	76.52646897	59.10796659	110.9380612
gbr.111.53.t1	944.8562892	689.6465445	1349.292386
gbr.58.212.t1	1001.904678	961.5996173	1190.592775
gbr.257.18.t1	195.5578288	231.5526836	329.6264505
gbr.14.152.t1_gbr.14.153.t1	1.254494878	0.906775578	1.100508179
gbr.6.93.t1	43.4857333	23.73241272	32.69620747
