Sample:	Skf	Skm	Skw
gbr.218.44.t1	6.009943048	6.484896112	8.022991511
gbr.70.27.t1	14.37881985	20.1679195	19.55598542
gbr.370.24.t1	17.79019484	25.83110226	32.21385031
gbr.400.13.t1	49.29320196	50.20882437	52.5397107
gbr.321.3.t1	158.6474737	164.8472717	183.1468732
gbr.6.127.t1	20.61038534	37.90684217	30.341248
gbr.114.7.t1	11.18610154	13.52610272	20.68228546
gbr.102.55.t1	18.34630345	19.94618616	30.56621046
gbr.222.23.t1	3.249263103	3.103552218	3.139392712
gbr.162.9.t1	402.3547367	493.5764442	488.2174103
gbr.26.87.t1	172.9415958	182.0058404	174.0626889
gbr.178.34.t1	23.87699762	48.03874324	43.99034477
gbr.566.2.t1	247.0260742	359.3240995	226.836255
gbr.124.81.t1	27.73925145	29.12102533	29.91804573
gbr.314.18.t1	138.1646203	136.9493864	127.812587
gbr.168.13.t1	45.72178208	44.59677949	57.27196352
gbr.1.49.t1	37.19836967	19.64408162	35.92870708
gbr.118.15.t1	462.7895048	1124.858981	783.7686714
gbr.283.2.t1	13810.45741	26939.83957	25684.79214
gbr.406.9.t1	549.4090802	718.4795001	517.0220527
gbr.58.86.t1	54.21348615	52.90337357	50.2986261
gbr.659.4.t1	3878.694029	11386.58068	7255.540226
gbr.14.81.t1	7.146255418	7.226084337	9.632334756
gbr.21.19.t1	102.3263543	124.5119828	120.037117
gbr.276.31.t1	43.1189303	42.96135865	44.19654175
gbr.314.24.t1	12.64864838	21.84081056	25.87384475
gbr.416.12.t1	15.43332014	16.25052221	15.81643006
gbr.476.14.t1	88.38924086	85.99017083	89.40493262
gbr.148.15.t1	152.6092392	162.5941925	154.5000412
gbr.444.16.t1	106.4699605	100.8208915	108.342449
gbr.47.26.t1	188.6435053	251.0181696	170.1093046
gbr.8.47.t1	25.37150401	45.12686362	28.29259161
gbr.81.161.t1	16.04234645	15.0385001	15.12752798
gbr.255.17.t1	9.640083811	16.5904795	18.30953347
gbr.367.3.t1	166.3242352	169.0294542	152.2735389
gbr.113.27.t1	1.323099092	1.843355088	2.697592785
gbr.210.13.t1	59.37924008	65.8805032	61.30752734
gbr.174.28.t1	9.24757473	12.29663854	14.83168939
gbr.213.9.t1	54.36948439	53.62132952	28.26507928
gbr.41.55.t1	0.451107825	0.73449528	2.284813283
gbr.81.23.t1_gbr.81.25.t1	28.99331175	23.82792805	37.15766539
gbr.14.125.t1	118.2477532	135.5938011	152.3443381
gbr.218.31.t1	182.8400384	316.4157476	175.4874555
gbr.61.35.t1	611.3971375	748.0266913	580.8693047
gbr.222.4.t1	100.608533	105.9790532	132.3647539
gbr.51.23.t1	42.69395378	42.04607577	39.95556878
gbr.75.50.t1	9.369869113	7.07003083	9.397440077
gbr.189.4.t1	19.37682602	17.31100002	17.08659242
gbr.422.5.t1	1862.376021	1909.234114	2064.215435
gbr.11.22.t1	20.49973238	22.97630883	37.56919148
gbr.25.160.t1	98.02456325	106.8666354	100.7984847
gbr.420.10.t1	64.71752621	58.90922772	111.5274772
gbr.14.64.t1	73.76526866	73.50581199	64.14827247
gbr.66.17.t1	3261.305284	1680.357356	2668.585364
gbr.331.13.t1	13.69985809	10.42706409	12.1027552
gbr.53.56.t1	72.29367263	73.05090841	90.35411299
gbr.3.77.t1	37.16210719	47.19824489	54.53509465
gbr.3.16.t1	22.27903775	21.07785416	27.46688348
gbr.389.3.t1	23.17685979	24.14812139	25.38259897
gbr.198.27.t1	45.6689272	49.21950534	58.76407777
gbr.493.6.t1	467.3339139	454.5788666	476.5399971
gbr.309.26.t1	3.374071942	23.16011839	27.92887847
gbr.416.9.t1	14.78287198	17.8486197	18.60750713
gbr.218.34.t1	227.313282	372.5655111	276.4647745
gbr.40.168.t1	16.01439764	20.26373059	27.98152264
gbr.142.22.t1	14.31877008	10.95058505	16.8665327
gbr.218.7.t1	274.3480915	311.7908133	295.9886943
gbr.11.101.t1	37.00400806	49.75125777	57.24235606
gbr.167.5.t1	111.5084772	122.3905668	130.6272364
gbr.531.10.t1	464.4035028	579.7212047	634.408667
gbr.11.187.t1	192.7705295	194.1502038	213.5161278
gbr.166.36.t1	61.86447498	64.54009915	86.57943446
gbr.29.20.t1	1021.760763	1176.108838	1256.835273
gbr.205.9.t1	53.50833254	55.43194815	49.62362463
gbr.14.95.t1	11.94339172	11.26877493	14.85528599
gbr.158.33.t1	19.48008468	25.43888105	22.37191278
gbr.375.36.t1	57.80244232	55.44825806	76.09936336
gbr.226.22.t1	231.7472601	253.6457983	236.964794
gbr.11.153.t1	20.09402503	22.34329303	24.28194094
gbr.113.12.t1	34.93243424	37.51584582	53.76151032
gbr.100.51.t1	101.364068	100.874377	157.2598902
gbr.39.25.t1	20.98058601	11.56570747	70.94479971
gbr.48.71.t1	48.04398488	42.62814886	56.10821022
gbr.41.32.t1	88.19028205	68.31419336	93.35248416
gbr.483.2.t1	36.10825614	33.40121016	43.3199893
gbr.101.7.t1	67.10785964	66.58047866	69.83622766
gbr.112.49.t1	67.36215744	69.73830115	78.81454547
gbr.64.57.t1	33.71085925	41.28060849	45.65470931
gbr.19.29.t1	39.84051377	30.22477565	45.16679477
gbr.371.20.t1	65.20597778	47.62139238	68.92259434
gbr.123.20.t1	0.243671034	0	0
gbr.242.28.t1	39.10014726	39.86711436	34.64358148
gbr.348.1.t1	99.32904739	107.3427466	89.21582411
gbr.56.60.t1	11.98070693	11.64483674	13.7557967
gbr.15.69.t1	36.01292269	29.3052038	46.69594298
gbr.7.119.t1	11.68197331	7.682023733	31.62629366
gbr.132.24.t1	21.8340307	21.73433164	29.29422178
gbr.35.81.t1	43.07706522	46.53740449	52.56990611
gbr.166.3.t1	16.03911651	15.17448756	16.05282665
gbr.129.14.t1	178.9177864	135.8867334	173.1543026
gbr.6.102.t1	270.2781635	276.9911771	233.3174036
gbr.149.14.t1	1578.190021	1663.007263	1396.794873
gbr.151.47.t1	98.07081806	102.383064	131.464455
gbr.342.20.t1	16.16302874	14.59991643	17.26730871
gbr.60.60.t1	149.6013076	167.8088276	152.6302756
gbr.204.22.t1	133.2533719	150.1321514	197.4524396
gbr.37.95.t1	111.4018138	116.6683784	123.9526072
gbr.221.66.t1	3.552977759	7.565840761	6.631863499
gbr.43.18.t1_gbr.43.19.t1	114.8740933	104.5434506	134.5801583
gbr.56.42.t1	59.29196038	53.55457793	71.60996881
gbr.3.104.t1	46.60347422	41.81085211	56.29354579
gbr.428.15.t1	281.6947103	398.3820853	339.977334
gbr.63.84.t1	13.50008998	11.24520749	11.32530079
gbr.184.54.t1	80.05422846	123.6947335	83.92514762
gbr.56.79.t1	28.37088777	23.86811224	31.81047366
gbr.325.5.t1	31.81114435	32.707372	40.17510074
gbr.49.22.t1	16.18155451	14.91450199	37.52048359
gbr.4.105.t1	0.164286687	0	0.016620968
gbr.89.1.t1	109.0229927	119.4738174	124.2758304
gbr.519.2.t1	14.2780656	41.20671221	77.6454145
gbr.541.1.t1	34.67344258	31.21783787	34.77517358
gbr.101.1.t1	36.5404657	40.93661002	47.95781458
gbr.400.5.t1	6.784753457	8.258411103	12.71925837
gbr.147.13.t1	69.23180989	59.91017281	74.4658642
gbr.338.14.t1	331.3763757	338.4943982	736.8162748
gbr.20.90.t1	36.11554958	32.91943833	43.10026602
gbr.519.9.t1	188.2185764	218.7884378	222.0305301
gbr.10.58.t1	37.98816659	35.47304834	60.20788927
gbr.299.7.t1	15.58443223	12.60338415	20.50116721
gbr.645.1.t1_gbr.645.3.t1_gbr.645.4.t1	329.9863676	412.5269675	318.8242988
gbr.108.12.t1	153.6398231	136.5153831	146.257493
gbr.4.45.t1	15.68464935	13.44572463	28.31602267
gbr.161.6.t1	18.06670852	14.86111103	22.33229837
gbr.11.216.t1	95.63861771	80.61070472	161.0345456
gbr.149.26.t1	10.99205524	11.80119375	15.32763502
gbr.40.7.t1	49.20517796	53.28834685	73.77117691
gbr.421.2.t1	313.0560268	353.8037068	397.6308136
gbr.215.36.t1	2.379298986	3.328035896	5.173716192
gbr.60.29.t1	16.43770562	21.58350784	21.83809496
