Sample:	STf	STm	STw
gbr.178.17.t1	46.96759419	49.74256834	67.74752822
gbr.3.83.t1	19.64195396	24.26956314	30.50936079
gbr.495.4.t1	38.94521919	44.8085622	53.96471859
gbr.503.4.t1	10.4503331	14.92315977	13.62652612
gbr.46.62.t1	34.58852607	40.18185902	41.9809487
gbr.124.75.t1	35.65104731	33.05425412	50.80549461
gbr.459.5.t1	61.995641	52.81179919	60.64126632
gbr.5.65.t1_gbr.5.66.t1	6.731829738	4.44200163	9.236354507
gbr.81.128.t1	21.236755	23.11067989	27.65761103
gbr.47.9.t1	107.6616757	99.95499629	158.7766133
gbr.139.80.t1	30.45645323	32.12618684	35.12282742
gbr.72.126.t1	49.2230336	38.23652601	52.43948854
gbr.218.44.t1	5.677109118	6.16018904	10.55999216
gbr.70.27.t1	9.206891645	9.244246925	13.31853863
gbr.370.24.t1	15.71886137	22.61042321	24.59972445
gbr.400.13.t1	22.60643193	28.7154732	35.76763924
gbr.321.3.t1	92.55240481	104.4102371	151.1693519
gbr.6.127.t1	98.84680165	102.068371	131.7687604
gbr.114.7.t1	14.27094836	18.65268379	20.80432982
gbr.102.55.t1	15.93189247	20.41688794	18.8021112
gbr.222.23.t1	12.66357372	15.15162379	11.73965521
gbr.162.9.t1	417.6429534	532.4535111	515.4821378
gbr.26.87.t1	115.1672819	116.8606919	137.9719771
gbr.178.34.t1	19.82097752	22.14237619	29.79193065
gbr.566.2.t1	159.8664585	455.6757879	191.3885531
gbr.124.81.t1	12.09582976	20.43402198	16.998143
gbr.314.18.t1	175.8927474	237.3865904	224.0433361
gbr.168.13.t1	35.94933811	35.07975716	36.98329593
gbr.1.49.t1	15.13578229	21.82692472	25.72104679
gbr.118.15.t1	1834.097852	2428.952453	2858.553352
gbr.283.2.t1	3.445328273	9.118825018	13.14283257
gbr.406.9.t1	53.89997769	73.40751863	47.64612626
gbr.58.86.t1	22.42638151	25.64137681	32.73350473
gbr.659.4.t1	6211.344535	10501.97174	8771.734106
gbr.14.81.t1	7.331766677	7.82935558	8.489673166
gbr.21.19.t1	266.3361883	319.5045237	291.3744279
gbr.276.31.t1	30.81343786	39.99338795	46.36654756
gbr.314.24.t1	17.49260258	17.59472982	28.11715771
gbr.416.12.t1	16.1671597	17.85114066	19.34908784
gbr.476.14.t1	62.30877319	62.61344402	70.82890158
gbr.148.15.t1	114.2912456	101.5612143	120.5366961
gbr.444.16.t1	101.9321774	130.7836571	134.0788827
gbr.47.26.t1	254.4321048	294.4897354	357.1456981
gbr.8.47.t1	46.26735919	56.96558577	68.76379481
gbr.81.161.t1	14.41743245	21.31068583	24.12685547
gbr.255.17.t1	83.65872465	100.6658828	97.83421913
gbr.367.3.t1	142.6983997	156.501558	185.4974076
gbr.113.27.t1	0.45112615	0.571623432	0.571126863
gbr.210.13.t1	42.80013459	52.39887517	62.62258287
gbr.174.28.t1	7.625521926	8.081878191	10.09872382
gbr.213.9.t1	45.60641953	45.07486768	42.62657826
gbr.41.55.t1	942.8339536	1394.093438	601.0250299
gbr.81.23.t1_gbr.81.25.t1	16.67873788	19.06232153	23.7085681
gbr.14.125.t1	242.3159476	217.7804426	267.2871481
gbr.218.31.t1	931.3853264	1276.726163	1333.440951
gbr.61.35.t1	152.6346266	59.85885118	238.8736252
gbr.222.4.t1	96.21981474	117.3279544	148.1329806
gbr.51.23.t1	68.76323815	104.6581424	106.7260832
gbr.75.50.t1	1.614835956	2.411159138	2.435281118
gbr.189.4.t1	8.259954103	12.03905964	13.14879945
gbr.422.5.t1	0.246670212	0.1282261	0.488212093
gbr.11.22.t1	21.26058075	28.24856281	34.68143513
gbr.25.160.t1	48.73275508	58.31925488	55.31402592
gbr.420.10.t1	33.75307734	45.05116916	49.85965541
gbr.14.64.t1	49.58884758	61.24912867	71.01717735
gbr.66.17.t1	523.4392681	655.2543011	825.2912181
gbr.331.13.t1	3.356205393	5.48879542	4.292103486
gbr.53.56.t1	80.32011029	84.96266161	91.28882085
gbr.3.77.t1	28.61146098	32.6049738	42.26358237
gbr.3.16.t1	7.543897588	5.589465889	8.060053254
gbr.389.3.t1	19.5661265	21.25192809	19.79410687
gbr.198.27.t1	44.52799117	53.78002758	64.1841854
gbr.493.6.t1	63.16422945	103.2114625	104.2938182
gbr.309.26.t1	5.050162837	15.73040532	28.70119115
gbr.416.9.t1	11.58088464	11.59664365	15.71049875
gbr.218.34.t1	2880.16492	3125.729585	3285.646567
gbr.40.168.t1	11.43483287	18.24208843	20.08841357
gbr.142.22.t1	5.014984938	6.31965113	7.73796292
gbr.218.7.t1	259.9137917	262.3616081	268.4228424
gbr.11.101.t1	53.62359828	47.0959112	61.43615564
gbr.167.5.t1	203.1847168	172.3391613	254.9755838
gbr.531.10.t1	943.2671407	787.5845167	1085.333978
gbr.11.187.t1	189.2033961	175.6972545	210.0147134
gbr.166.36.t1	56.1780924	55.20229149	74.29076261
gbr.29.20.t1	842.6513949	828.2267236	905.0782309
gbr.205.9.t1	68.88252124	63.75280565	78.40841467
gbr.14.95.t1	9.152303833	15.87079461	16.35278943
gbr.158.33.t1	24.82038772	24.67833905	30.20714442
gbr.375.36.t1	36.29575407	37.6814688	53.40005032
gbr.226.22.t1	66.03524527	53.75894262	93.61506092
gbr.11.153.t1	1.135948488	1.350526005	1.992942278
gbr.113.12.t1	9.785565905	18.60144188	40.52259335
gbr.100.51.t1	67.10524773	81.37107438	147.4475885
gbr.39.25.t1	13.8888744	16.06262534	34.05459332
gbr.48.71.t1	31.42194699	32.15084803	43.04828246
gbr.41.32.t1	60.48547616	59.99458579	66.63458832
gbr.483.2.t1	35.95276201	38.40384699	37.88905195
gbr.101.7.t1	61.87690901	66.11607364	79.22317283
gbr.112.49.t1	50.64520599	43.15093119	63.66497617
gbr.64.57.t1	48.82643347	47.24601466	52.4649611
gbr.19.29.t1	20.22355685	33.119881	35.52082582
gbr.371.20.t1	39.15988815	40.3841226	51.13551342
gbr.123.20.t1	23.95464883	25.17841725	39.16937484
gbr.242.28.t1	25.92475562	27.64318919	30.20367428
gbr.348.1.t1	66.48029184	63.06107127	80.27974928
gbr.56.60.t1	15.89216645	16.25864739	17.97060219
gbr.15.69.t1	25.06918925	34.95356868	36.82008927
gbr.7.119.t1	55.59613281	97.24253347	124.2360534
gbr.132.24.t1	7.423076219	10.22874418	15.00596782
gbr.35.81.t1	35.75211215	42.9606936	50.08731785
gbr.166.3.t1	16.8372821	21.36629627	25.97478648
gbr.129.14.t1	82.20812413	75.8728455	109.8681548
gbr.6.102.t1	188.8535574	201.0994714	206.0555381
gbr.149.14.t1	1474.181852	1263.477941	1310.383994
gbr.151.47.t1	63.45654984	77.63229969	114.4645255
gbr.342.20.t1	16.26449985	15.29784079	17.95398436
gbr.60.60.t1	148.5079279	149.2936145	158.8460635
gbr.204.22.t1	304.9490787	305.919421	486.4178562
gbr.37.95.t1	135.2951626	127.1576402	168.3835727
gbr.221.66.t1	28.13357936	33.32081167	44.84363683
gbr.43.18.t1_gbr.43.19.t1	6.259827889	12.27672272	9.387991616
gbr.56.42.t1	18.51267739	25.32334427	29.55987566
gbr.3.104.t1	47.30479523	49.673997	67.70394965
gbr.428.15.t1	2013.000664	2429.043697	1848.565181
gbr.63.84.t1	10.33064794	12.40936246	13.64042816
gbr.184.54.t1	216.0560396	210.4510922	316.8089888
gbr.56.79.t1	2.685234166	3.31499573	4.057638579
gbr.325.5.t1	0	0	0
gbr.49.22.t1	12.34498566	18.56797893	29.55116305
gbr.4.105.t1	27.03573091	71.27833823	23.04517009
gbr.89.1.t1	76.08592477	104.8782905	91.61822066
gbr.519.2.t1	176.2849551	423.9705574	2746.530978
gbr.541.1.t1	67.53653645	73.35727152	98.73028825
gbr.101.1.t1	15.94327028	21.69408383	17.9473751
gbr.400.5.t1	2.424232659	3.636473484	4.466928959
gbr.147.13.t1	49.56293384	44.4172708	52.4241645
gbr.338.14.t1	60.97638088	103.4092918	200.4211894
gbr.20.90.t1	26.85017543	34.31268079	35.84372396
gbr.519.9.t1	268.9086648	288.8134877	342.5910697
gbr.10.58.t1	1.543800906	1.393912626	2.038042298
gbr.299.7.t1	7.549334172	9.837782243	12.22320955
gbr.645.1.t1_gbr.645.3.t1_gbr.645.4.t1	484.2588663	507.2926694	816.4079464
gbr.108.12.t1	156.0416759	162.6784948	170.9251473
gbr.4.45.t1	3.251197567	3.087006262	7.008570545
gbr.161.6.t1	11.08166782	11.81506481	16.38842523
gbr.11.216.t1	105.2111628	112.9727022	209.4013623
gbr.149.26.t1	8.518094773	9.515837077	11.07072578
gbr.40.7.t1	19.40881929	24.24634938	21.93601327
gbr.421.2.t1	308.1992355	285.273783	384.75551
gbr.215.36.t1	1.214148728	2.206016894	3.047438615
gbr.60.29.t1	30.75170094	29.0108068	38.04737259
gbr.418.10.t1_gbr.418.11.t1	34.41646137	52.68042162	55.60010981
gbr.78.51.t1	33.44851417	31.1711904	58.13445202
gbr.174.39.t1	32.87505151	31.38748979	35.65571243
gbr.90.93.t1	35.19322123	69.96943459	70.28906783
gbr.111.54.t1	126.497911	113.7709462	129.5441161
gbr.29.37.t1	20.73926809	17.7494424	12.34298005
gbr.92.45.t1	21.3809232	19.88584268	57.68124325
gbr.124.63.t1	1.9724229	1.080882943	2.651591187
gbr.162.31.t1	1096.991093	1151.988974	2108.948163
gbr.130.4.t1	10.54067928	12.07913203	16.26073551
gbr.81.141.t1	49.62354756	44.05597437	77.84417341
gbr.143.12.t1	4.866599948	4.076438682	7.061109823
gbr.183.19.t1	1.484674099	3.483426414	2.91614648
gbr.81.43.t1	9586.30816	10526.75438	9899.463061
gbr.40.114.t1	36.102497	30.87449782	48.24177648
gbr.262.1.t1	61.15938712	46.82217848	70.76683413
gbr.384.6.t1	310.9490575	250.4678469	389.3636587
gbr.24.13.t1	58.40135177	59.25649387	71.99155355
gbr.380.13.t1_gbr.380.11.t1	93.26173765	90.37348436	98.93824437
gbr.459.4.t1	73.68644768	78.00604416	96.50284181
gbr.25.185.t1	183.084596	158.6316938	300.7142964
gbr.388.26.t1	0.889067472	0.289013001	2.057288509
gbr.72.97.t1	30.52815933	39.6317026	50.85395893
gbr.37.111.t1	114.4630409	111.6287063	142.9777135
gbr.18.18.t1	2.928307088	1.647009621	3.633684805
gbr.508.2.t1	0.148300245	0.121752824	0.155731214
gbr.314.33.t1	39.41888816	30.44230686	46.28177373
gbr.43.63.t1	9.492299883	6.874514838	9.185763523
gbr.253.11.t1	16.34590792	17.53791047	15.10800246
gbr.105.12.t1	34.99986429	24.98296141	42.40978506
gbr.4.56.t1_gbr.4.57.t1	3.166030265	2.004351348	3.043620183
gbr.270.18.t1	72.38411868	70.34401881	83.03712723
gbr.1.66.t1	77.94625165	85.38895874	84.15553347
gbr.139.43.t1	2.127079848	4.095725586	5.303790073
gbr.151.45.t1_gbr.151.46.t1	533.7810572	485.19635	881.6182756
gbr.58.5.t1	76.39348921	65.25256083	126.2451349
gbr.309.7.t1	0.134585194	0.557754851	0.270612309
gbr.41.20.t1	22531.49292	22078.3588	18058.60696
gbr.8.5.t1	21.52370703	16.85966014	27.4280103
gbr.155.19.t1	78.79505203	88.81400674	92.64615566
gbr.296.23.t1	2.144241323	0.644844464	0.19455109
gbr.286.7.t1	89.72898432	86.00443058	94.95726169
gbr.11.177.t1	14.99516285	14.44890392	19.48149638
gbr.363.1.t1	0.863912387	0.230878322	0.65383409
gbr.308.18.t1	49.5591907	40.96463999	63.56239523
gbr.457.5.t1_gbr.457.6.t1	40.31321744	37.51208782	57.00677446
gbr.154.17.t1	110.0737208	90.34510129	138.5692206
gbr.162.11.t1	59.82722584	66.89439331	74.82064042
gbr.18.7.t1	529.4442552	367.8169956	462.8019867
gbr.25.187.t1	66.53852758	73.38788226	83.75199517
gbr.379.18.t1	43.7849656	32.50150584	66.33206813
gbr.59.23.t1	1.07714091	0.269595555	1.807150284
gbr.37.124.t1	30.48314519	38.22973695	44.47965525
gbr.60.92.t1	30.70897378	28.27977359	32.87465787
gbr.124.54.t1	114.4048982	126.7938521	144.9106848
gbr.47.76.t1	1433.317471	1300.901876	1748.131233
gbr.102.53.t1	28.84368042	34.14929291	36.74024886
gbr.167.58.t1	208.7493021	203.762602	303.2276902
gbr.90.88.t1	154.939206	144.9253533	123.8172792
gbr.53.86.t1	100.719556	88.00718796	128.9135769
gbr.627.4.t1_gbr.627.5.t1	22.06943301	21.16933693	43.38992726
gbr.324.9.t1	6.287238881	4.341244638	16.87426077
gbr.425.3.t1	362.5733387	324.7969606	376.2405785
gbr.272.14.t1	25.14733038	27.80115768	36.04237685
gbr.18.41.t1	46.77244594	52.10019906	86.49217352
gbr.36.47.t1	84.61083514	64.02851301	92.77439026
gbr.53.123.t1	9.001300524	6.124291372	17.78020001
gbr.76.61.t1	6.024299759	8.004030528	14.70138172
gbr.157.18.t1	114.3664426	130.3335214	213.2803941
gbr.286.17.t1	104.8899051	108.454991	124.9698825
gbr.25.161.t1	20.97651896	15.91209067	15.67665284
gbr.236.8.t1	95.90346077	154.8488845	265.3324009
gbr.35.71.t1	106.6015104	116.976247	182.2606862
gbr.97.51.t1	40.99491012	25.40856173	67.15586381
gbr.165.18.t1	15.7719074	19.35136345	18.58667645
gbr.332.8.t1	1.851848115	1.824586731	1.034686395
gbr.117.35.t1	21.51262473	21.60277166	29.0364623
gbr.326.13.t1	28.87021252	32.13554936	45.21574672
gbr.140.46.t1	14.67131811	11.70779255	11.27080868
gbr.72.112.t1	7.205573299	5.25715359	9.86650242
gbr.36.46.t1	191.531215	150.0401202	267.7329029
gbr.253.23.t1	42.667096	48.50440153	71.46441325
gbr.424.8.t1	52.02245393	52.23675632	87.2237337
gbr.111.56.t1	767.0904433	612.3365753	636.829709
gbr.208.35.t1	13.34846985	12.90270221	17.44673017
gbr.180.27.t1	29.98640209	30.25365937	49.98787553
gbr.14.66.t1	8.8671058	11.97018621	17.59797449
gbr.49.7.t1	50.02736101	59.85929185	118.7429883
gbr.2.61.t1	534.2664535	509.9431532	563.8901134
gbr.84.5.t1	43.77287247	40.59516982	58.5187891
gbr.170.8.t1	2.478326822	4.221606684	3.879596961
gbr.35.84.t1	33.42324884	31.95163923	35.25899579
gbr.176.4.t1	25.14854198	28.992169	33.49452365
gbr.627.2.t1	2.441796416	2.783310396	2.851192183
gbr.2.20.t1	14.44087736	7.513138209	21.93486421
gbr.34.22.t1	0.35250019	0.229418207	0.813094722
gbr.209.7.t1	553.8948656	550.3736633	688.4084734
gbr.216.39.t1	332.7485514	307.8861989	349.2139958
