Sample:	TFf	TFm	TFw
gbr.52.25.t1	3.532176157	1.351676061	0.81705802
gbr.276.10.t1	2.65336763	1.61166436	0.80679186
gbr.77.21.t1	3.91570938	4.089347822	2.241730383
gbr.71.8.t1	44.66471173	35.18739686	31.96912069
gbr.2.6.t1	26.14598629	22.16753129	15.27849358
gbr.38.58.t1	421.0059558	370.7047721	389.3747639
gbr.383.8.t1	559.9996822	459.567018	320.7223041
gbr.50.95.t1	272.2005077	240.939697	105.7611904
gbr.11.186.t1	41.92714663	36.94021539	27.89563107
gbr.242.30.t1	7.764812082	8.253643764	2.234579219
gbr.31.28.t1	5.360567179	4.289904766	1.883632282
gbr.125.10.t1	3.680738027	2.830300159	1.394880285
gbr.81.80.t1	81.87309084	69.81693821	43.78989956
gbr.125.6.t1	6.329005131	8.238929645	2.291271999
gbr.233.4.t1	2.982825601	2.328938624	1.746351223
gbr.236.22.t1	1.268314237	1.244536781	0.397956488
gbr.97.67.t1	12.04580409	5.047281954	5.546679439
gbr.57.22.t1	42.2151533	34.16765701	26.21786688
gbr.87.36.t1	6.319501016	3.981887043	3.020365484
gbr.58.143.t1	3.200995723	2.530292442	1.638948924
gbr.211.25.t1	39.30716721	31.37463069	24.10412835
gbr.128.20.t1	15.18852639	14.0348309	13.76085588
gbr.208.39.t1	7.217623313	7.604344001	3.075082808
gbr.49.36.t1	2.306168923	1.870062564	0.745850689
gbr.7.113.t1_gbr.7.114.t1	183.5447894	146.9647305	140.0353726
gbr.198.14.t1	16.65951429	15.18786078	7.447401714
gbr.23.64.t1	41.43397333	32.2627216	9.028020303
gbr.123.14.t1	4.259457674	4.056495437	2.80531318
gbr.188.16.t1	53.6541748	30.61517889	13.69917755
gbr.115.7.t1	4.349683839	3.415574945	2.358151046
gbr.85.21.t1	288.0548992	153.6764869	74.67403298
gbr.35.97.t1	3.973090649	3.767513576	3.382462731
gbr.456.1.t1	4.191036888	3.533715768	2.87144149
gbr.58.20.t1	10.21793184	9.5744093	8.012169425
gbr.208.28.t1	2.90379752	3.091490224	1.828731244
gbr.60.64.t1	7.018932912	6.478970952	4.283791272
gbr.540.1.t1	12.82369169	10.08501625	5.347444508
gbr.76.84.t1	1.535366329	1.174825553	0.897639884
