Sample:	Cof	Com	Cow
gbr.111.11.t1	5.45635991	1.495938521	0.511883302
gbr.63.13.t1	0.549213763	0.753547332	1.053019052
gbr.120.12.t1_gbr.120.14.t1_gbr.120.11.t1	1.222141919	0.384584925	0.476527753
gbr.441.3.t1	1.567672198	0.982135772	0.451145317
gbr.168.20.t1	5.911602559	2.448651578	0.602655849
gbr.8.100.t1	3.130647715	2.726207814	1.250981625
gbr.139.75.t1	1.352720506	0.207758187	0.894809217
gbr.28.21.t1	56.66296021	54.87396265	19.3417891
gbr.358.20.t1	20.37710831	11.65835604	5.660470933
gbr.1.22.t1	6.577448962	5.51791998	2.513096518
gbr.81.178.t1	2.562699466	0.65852963	0.677652461
gbr.18.6.t1	2.14849835	1.33731806	3.749782377
gbr.46.67.t1	1.151321006	0.509288309	0.182824227
gbr.97.37.t1	64.73086331	54.33094314	52.80889819
gbr.163.42.t1	0.354065253	0.174799222	0.339487176
gbr.380.27.t1	0.409152892	0.583310846	1.613243721
gbr.215.2.t1	114.9174275	10.50025723	4.410232069
gbr.651.1.t1	0.271635204	0.388118844	2.465298181
gbr.215.4.t1	2.803317044	2.095455393	3.663109654
gbr.76.19.t1	36.61640369	27.50207962	23.30083106
gbr.41.83.t1	2.117265481	0.256074085	0.835783309
gbr.268.22.t1	3.662328505	0.522472821	2.296469748
gbr.494.3.t1	165.7847321	2.301398593	0.444128848
gbr.253.37.t1	12363.62317	4782.812214	307.7814698
gbr.358.22.t1	0.590618725	0.723862556	1.47309903
gbr.13.82.t1	104.355661	89.89639033	32.69950445
gbr.27.25.t1	470.6012385	224.155456	136.6262084
gbr.82.26.t1	222.0383092	190.1450852	55.97890019
gbr.192.1.t1	2.47190247	1.943880478	2.144651078
gbr.213.23.t1	7.128730918	2.117399143	1.98308823
gbr.16.22.t1	18.46113711	3.702499062	1.897263229
gbr.44.53.t1	8.353376743	4.907622246	7.321660689
gbr.26.16.t1	1.530192739	0.857197686	0.206763243
gbr.405.14.t1	32.84077228	5.015711721	0
gbr.23.71.t1	644.3635663	201.4421771	68.49879862
gbr.77.11.t1	0.58702795	0.168051474	0.184793884
gbr.7.87.t1	16.63709109	15.72231502	17.25114346
gbr.143.26.t1	3.32295657	2.216247704	1.263524463
gbr.612.1.t1	0.084558599	0.091246039	0.070075215
gbr.144.42.t1	36.62210775	27.84163875	32.18356756
gbr.162.23.t1	46.2045713	2.733183955	2.10034794
gbr.75.9.t1	199.3543836	163.774948	153.4211345
gbr.17.89.t1	31.54462528	14.21414351	4.048781215
gbr.290.9.t1	22.61542111	26.72585127	18.12087935
gbr.335.8.t1	3.057390508	1.308910734	0.468317851
gbr.341.18.t1	3.47513271	1.334820206	0.498421352
gbr.31.3.t1	12.3663896	9.217869945	2.985110413
gbr.38.48.t1	0.856610788	0.637326325	0.317344728
gbr.121.6.t1	0.086469056	0.15729045	0.034309798
gbr.2.7.t1	0.54050247	0.622987798	0.767986364
gbr.271.14.t1	177.7827931	139.5985007	53.0906691
gbr.20.88.t1_gbr.20.89.t1	22.76151807	6.527497113	4.896152877
gbr.24.75.t1	2.408940798	1.039124281	1.847555807
gbr.282.19.t1	4.509695398	0.620647585	1.852460486
gbr.301.27.t1	3.7081992	0.231968496	1.345388656
gbr.410.2.t1	1.488853778	1.494545609	1.009552242
gbr.70.52.t1	7.504584923	3.396536201	3.560024741
gbr.146.14.t1	10.26930697	6.200980955	5.335090533
gbr.17.88.t1	137.3027076	101.7046023	64.93309794
gbr.173.14.t1	17.73005528	11.82359813	8.39230768
gbr.25.135.t1	1.389864301	0.568675021	0.557999657
gbr.187.29.t1	0.878313348	0.186473395	0
gbr.282.42.t1_gbr.282.41.t1_gbr.282.40.t1	2.528571035	2.918419657	1.667511304
gbr.81.70.t1	1.018415868	0.167416465	0.259300892
gbr.446.2.t1	870.409496	744.8161633	375.0455333
gbr.65.18.t1	1.296060819	0.619282602	0.201628338
gbr.407.6.t1	0	0	0
gbr.188.43.t1	61.02198288	41.80691685	20.46833557
gbr.81.209.t1	123.7873462	53.53997407	32.63394115
gbr.570.1.t1	3.46643978	1.449937458	0.996612769
gbr.589.5.t1_gbr.589.7.t1_gbr.589.9.t1	216.8451279	117.0975265	114.6805926
gbr.458.6.t1	7.934747842	2.73709852	2.121910025
gbr.3.36.t1	6.869909478	4.71282821	0.825140265
gbr.40.162.t1	0.738096909	0	2.414192076
gbr.64.45.t1	3.199736467	1.033503761	0
gbr.152.17.t1	15229.46481	3521.701521	354.2840183
gbr.319.8.t1	6.579297017	2.375581548	1.950607591
gbr.112.36.t1	64.70253539	37.61150631	12.89874996
gbr.387.6.t1	3.751772761	2.716768301	6.85855729
gbr.97.1.t1_gbr.97.4.t1	5.196565263	4.515704194	4.437682536
gbr.152.15.t1	211.4417516	32.01021316	8.77799856
gbr.219.25.t1_gbr.219.26.t1	22.31561272	12.36989708	19.31658033
gbr.29.8.t1	736.960972	195.3813936	37.7789167
gbr.46.46.t1	97.42769682	34.18463567	6.264029549
gbr.2.10.t1	3.059031098	1.762341614	0.304497984
