Sample:	Paf	Pam	Paw
gbr.47.44.t1	146.6859401	150.0441818	136.5564021
gbr.75.83.t1	23.01746777	23.19151527	18.89250584
gbr.141.31.t1	10.79283918	11.74903015	8.819146525
gbr.108.21.t1_gbr.108.19.t1	12.94501676	18.27906562	14.68956932
gbr.112.9.t1	14.01443888	12.23968747	8.709733573
gbr.21.63.t1	8.008314642	12.25830685	10.17652032
gbr.350.22.t1	20.38360214	23.41034022	9.936467385
gbr.174.23.t1	18.80495575	26.87402033	15.20682253
gbr.6.31.t1_gbr.6.33.t1_gbr.6.28.t1	69.46329544	188.7024195	56.6128958
gbr.7.47.t1	42.72704316	54.98713001	32.28238386
gbr.101.9.t1	3.850967005	4.094282026	3.831959456
gbr.72.72.t1	13.24969727	19.59021036	9.656311294
gbr.51.11.t1	15.37990766	27.03535634	14.11211706
gbr.63.51.t1_gbr.63.52.t1	18.28140817	21.81140708	14.62903896
gbr.451.3.t1	18.93495395	25.26587552	15.13576901
gbr.489.4.t1	3.776649949	5.684865014	2.388148142
gbr.89.37.t1	4.576090348	3.488113955	2.740143357
gbr.127.25.t1	11.99686314	10.42242778	10.82122289
gbr.2.239.t1	31.43304888	35.69559632	25.83018174
gbr.139.28.t1	1.550696822	6.029234611	2.265884453
gbr.37.104.t1	25.36275054	23.94386834	17.8877828
gbr.262.4.t1	11.74507114	16.89719565	10.04138663
gbr.4.15.t1	0.942310542	1.626302507	1.169600559
gbr.208.46.t1	4.139642857	3.239361913	3.761108643
gbr.442.14.t1	1.861848939	3.004705329	1.94900454
gbr.71.18.t1	7.534505838	8.054419871	6.273990869
gbr.221.49.t1	1.747915021	3.125768197	1.089966522
gbr.221.83.t1	15.03179426	22.78099635	14.23849659
gbr.139.84.t1	18.31326901	19.2127145	14.91141177
gbr.123.1.t1	39.75598679	43.02748035	47.35114263
gbr.412.2.t1	3.709246222	3.866923977	3.339360904
gbr.24.3.t1	5.82840523	6.274164642	3.722390441
gbr.162.15.t1	24.65535757	37.97949316	23.1976021
gbr.488.18.t1	9.406399072	12.09237082	9.153097183
gbr.230.9.t1	63.17913759	75.17272368	59.53697168
gbr.5.4.t1	17.81546361	20.1404022	14.15626521
gbr.40.16.t1	11.68604933	14.01389252	9.439196463
gbr.8.23.t1	9.22331045	12.75719962	4.837652069
gbr.126.32.t1	19.00631159	21.61999621	16.28452134
gbr.130.1.t1	175.0433536	255.7079992	181.5718989
gbr.50.5.t1	4.624946325	6.732475655	4.260520448
